Energy	Label	DecayTime	RiseTime	MSEFraction
1592.89	0	154002	215.142	0.0250646
1592.06	0	149640	204.718	-0.00825915
1594.13	0	150414	223.838	0.0123558
1590.49	0	149539	188.986	0.0302867
1592.01	0	146906	225.701	-0.0522345
1592.04	0	143270	213.744	-0.00927575
1592.82	0	142435	197.441	0.0325846
1592.38	0	145609	152.895	-0.00855127
1590.86	0	151394	196.985	0.00306471
1590.13	0	147634	214.34	0.0013967
1590.94	0	153454	173.759	0.0154044
1593.73	0	154563	169.958	0.0244767
1592.68	0	148157	224.756	-0.00655526
1590.69	0	147160	185.85	-0.0137986
1591.7	0	141858	195.864	-0.0166698
1592.75	0	147395	189.563	-0.00186696
1595.13	0	153220	196.872	-0.00350959
1594.4	0	149728	211.461	0.0195659
1591.38	0	152218	201.34	0.0280634
1589.34	0	157361	217.256	0.0143611
1590.85	0	144745	198.047	0.0130412
1595.05	0	145955	202.938	0.0068716
1591.31	0	145756	212.943	0.00952114
1591.2	0	158493	208.564	0.011536
1594.53	0	145551	204.43	0.017298
1589.65	0	154547	195.894	-0.0312607
1592.05	0	144952	197.191	0.0193475
1590.88	0	161455	169.717	-0.0109216
1591.68	0	149932	194.779	-0.00942613
1593.01	0	143601	193.601	0.0224949
1591.46	0	146549	231.581	0.00657523
1595.39	0	145768	195.904	0.0118583
1589.69	0	147139	189.559	-0.0118138
1592.45	0	149510	182.583	-0.0375579
1594.8	0	153817	226.568	0.0162582
1591.63	0	158178	192.365	0.00697886
1590.72	0	159509	172.545	0.0114438
1590.88	0	151585	159.985	-0.0120259
1590.95	0	151308	188.931	-0.00527342
1594.74	0	143169	202.423	-0.0115674
1590.63	0	154954	143.887	0.00945836
1593.35	0	155904	203.241	0.0260253
1588.23	0	143231	183.716	-0.0254306
1591.49	0	160567	197.925	0.0126052
1594.26	0	158259	219.387	-0.0111443
1591.7	0	143266	221.98	-0.000131293
1591.72	0	146856	191.006	0.0398446
1592.07	0	157378	217.129	-0.00819212
1592.76	0	147692	211.825	0.0305821
1590.63	0	152315	203.131	0.00109219
1591.35	0	144658	183.092	-0.018349
1594.07	0	154165	185.083	-0.0142804
1591.17	0	148889	169.466	-0.0033115
1590.69	0	156547	196.459	0.0142701
1593.05	0	141952	229.942	0.0244967
1592.36	0	149860	217.021	0.0134965
1593.3	0	158917	151.613	0.00704583
1591.95	0	139181	199.91	0.01897
1590.66	0	161018	212.456	-0.0015275
1593.27	0	147097	201.052	-0.0245289
1589.06	0	147156	187.362	-0.00660107
1588.68	0	155065	184.463	-0.00800793
1593.63	0	154941	192.555	0.0202535
1592.84	0	147032	215.31	0.0126589
1592.47	0	151373	192.396	0.0066772
1594	0	147880	209.491	-0.00609247
1591.43	0	155528	240.389	0.0213173
1591.05	0	149059	206.739	0.0244444
1592.17	0	158683	210.886	-0.00464084
1591.46	0	152910	195.922	-0.00601737
1591.75	0	156958	197.911	-0.0181235
1590.44	0	157952	179.653	-0.00863101
1592.15	0	156479	181.805	0.0189938
1592.86	0	154773	220.655	0.00883181
1588.84	0	154796	189.24	0.0340378
1592.01	0	150286	210.864	-0.00814633
1591.5	0	147136	189.191	-0.00632826
1591.44	0	149245	193.107	0.0157142
1591.09	0	154838	216.782	-0.0179108
1591.64	0	160038	208.194	-0.00733094
1591.36	0	145717	167.017	0.00614053
1592.53	0	145312	207.509	-0.00101568
1590.08	0	152929	207.473	-0.00260367
1593.85	0	147823	181.253	-0.0165996
1591.3	0	151805	186.493	-0.0382777
1596.18	0	143623	205.013	-0.0195951
1590.57	0	154079	217.574	0.000704972
1589.81	0	150229	179.842	-0.0419645
1588.79	0	154324	213.682	-0.0164635
1591.41	0	151603	194.738	-0.0160127
1591.76	0	142267	203.633	0.0052846
1592.33	0	160665	190.573	-0.0239964
1591.28	0	149603	184.262	0.0129652
1593.54	0	156100	190.578	0.0352779
1592.06	0	159694	215.546	-0.0180371
1591.13	0	148280	192.291	-0.00405999
1591.87	0	154011	232.021	-0.00052187
