Energy	DecayTime	RiseTime	MSEFraction
2040.73	150480	226.058	-0.00947918
2038.68	147330	185.433	-0.0223489
2038.15	151288	197.928	0.00968222
2001.31	156226	586.251	0.544414
2079.71	154534	518.968	0.378324
2045.14	153801	738.727	0.565276
2002.94	157325	343.689	0.195831
2032.82	156413	534.745	0.936874
2045.72	157662	876.233	0.462342
2055.12	149600	905.08	0.930713
2048.37	149479	180.975	-0.0338353
2060.36	151463	595.579	0.446412
2056.18	146774	315.366	0.0160666
2025.72	151821	677.362	0.102045
2031.05	153799	213.755	0.00933729
2058.05	156557	191.19	0.0305558
2055.56	146392	344.29	0.681646
2069.59	148953	816.404	0.410921
2026.48	151653	660.351	0.251413
2016.19	158626	738.322	0.261808
2050.4	145665	814.859	0.727531
2078.73	153037	779.199	0.314265
2077.69	146968	315.807	0.125171
